1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
70.0157 	EXP 	grating: autoDraw = False
70.0157 	EXP 	grating: ori = 0.0
70.0157 	EXP 	fixation: autoDraw = True
71.0156 	EXP 	fixation: autoDraw = False
71.0156 	EXP 	grating: autoDraw = True
71.3158 	EXP 	grating: autoDraw = False
71.6695 	EXP 	New trial (rep=34, index=0): None
71.6723 	DATA 	Keypress: up
71.6821 	EXP 	fixation: autoDraw = False
71.6821 	EXP 	grating: autoDraw = False
71.6821 	EXP 	grating: ori = 0.0
71.6821 	EXP 	fixation: autoDraw = True
72.6824 	EXP 	fixation: autoDraw = False
72.6824 	EXP 	grating: autoDraw = True
72.9824 	EXP 	grating: autoDraw = False
73.7539 	EXP 	New trial (rep=35, index=0): None
73.7568 	DATA 	Keypress: up
73.7656 	EXP 	fixation: autoDraw = False
73.7656 	EXP 	grating: autoDraw = False
73.7656 	EXP 	grating: ori = 0.0
73.7656 	EXP 	fixation: autoDraw = True
74.7474 	EXP 	grating: autoDraw = True
74.7640 	EXP 	fixation: autoDraw = False
75.0361 	EXP 	grating: autoDraw = False
75.3004 	EXP 	New trial (rep=36, index=0): None
75.3026 	DATA 	Keypress: up
75.3069 	EXP 	fixation: autoDraw = False
75.3069 	EXP 	grating: autoDraw = False
75.3069 	EXP 	grating: ori = 0.0
75.3069 	EXP 	fixation: autoDraw = True
76.2991 	EXP 	grating: autoDraw = True
76.3159 	EXP 	fixation: autoDraw = False
76.5993 	EXP 	grating: autoDraw = False
76.8364 	EXP 	New trial (rep=37, index=0): None
76.8394 	DATA 	Keypress: up
76.8493 	EXP 	fixation: autoDraw = False
76.8493 	EXP 	grating: autoDraw = False
76.8493 	EXP 	grating: ori = 0.0
76.8493 	EXP 	fixation: autoDraw = True
77.8493 	EXP 	fixation: autoDraw = False
77.8493 	EXP 	grating: autoDraw = True
78.1493 	EXP 	grating: autoDraw = False
78.4036 	EXP 	New trial (rep=38, index=0): None
78.4064 	DATA 	Keypress: up
78.4156 	EXP 	fixation: autoDraw = False
78.4156 	EXP 	grating: autoDraw = False
78.4156 	EXP 	grating: ori = 0.0
78.4156 	EXP 	fixation: autoDraw = True
79.4163 	EXP 	fixation: autoDraw = False
79.4163 	EXP 	grating: autoDraw = True
79.7159 	EXP 	grating: autoDraw = False
80.0350 	EXP 	New trial (rep=39, index=0): None
80.0367 	DATA 	Keypress: up
80.0493 	EXP 	fixation: autoDraw = False
80.0493 	EXP 	grating: autoDraw = False
80.0493 	EXP 	grating: ori = 0.0
80.0493 	EXP 	fixation: autoDraw = True
81.0498 	EXP 	fixation: autoDraw = False
81.0498 	EXP 	grating: autoDraw = True
81.3495 	EXP 	grating: autoDraw = False
81.5538 	EXP 	New trial (rep=40, index=0): None
81.5567 	DATA 	Keypress: up
81.5661 	EXP 	fixation: autoDraw = False
81.5661 	EXP 	grating: autoDraw = False
81.5661 	EXP 	grating: ori = 0.0
81.5661 	EXP 	fixation: autoDraw = True
82.5666 	EXP 	fixation: autoDraw = False
82.5666 	EXP 	grating: autoDraw = True
82.8660 	EXP 	grating: autoDraw = False
83.1033 	EXP 	New trial (rep=41, index=0): None
83.1062 	DATA 	Keypress: up
83.1161 	EXP 	fixation: autoDraw = False
83.1161 	EXP 	grating: autoDraw = False
83.1161 	EXP 	grating: ori = 0.0
83.1161 	EXP 	fixation: autoDraw = True
84.1238 	EXP 	fixation: autoDraw = False
84.1238 	EXP 	grating: autoDraw = True
84.4199 	EXP 	grating: autoDraw = False
84.6038 	EXP 	New trial (rep=42, index=0): None
84.6068 	DATA 	Keypress: up
84.6159 	EXP 	fixation: autoDraw = False
84.6159 	EXP 	grating: autoDraw = False
84.6159 	EXP 	grating: ori = 1.0
84.6159 	EXP 	fixation: autoDraw = True
85.6164 	EXP 	fixation: autoDraw = False
85.6164 	EXP 	grating: autoDraw = True
85.9158 	EXP 	grating: autoDraw = False
86.3035 	EXP 	New trial (rep=43, index=0): None
86.3063 	DATA 	Keypress: up
86.3158 	EXP 	fixation: autoDraw = False
86.3158 	EXP 	grating: autoDraw = False
86.3158 	EXP 	grating: ori = 0.0
86.3158 	EXP 	fixation: autoDraw = True
87.3168 	EXP 	fixation: autoDraw = False
87.3168 	EXP 	grating: autoDraw = True
87.6158 	EXP 	grating: autoDraw = False
87.9034 	EXP 	New trial (rep=44, index=0): None
87.9062 	DATA 	Keypress: up
87.9162 	EXP 	fixation: autoDraw = False
87.9162 	EXP 	grating: autoDraw = False
87.9162 	EXP 	grating: ori = 0.0
87.9162 	EXP 	fixation: autoDraw = True
88.9159 	EXP 	fixation: autoDraw = False
88.9159 	EXP 	grating: autoDraw = True
89.2159 	EXP 	grating: autoDraw = False
89.4368 	EXP 	New trial (rep=45, index=0): None
89.4398 	DATA 	Keypress: up
89.4495 	EXP 	fixation: autoDraw = False
89.4495 	EXP 	grating: autoDraw = False
89.4495 	EXP 	grating: ori = 0.0
89.4495 	EXP 	fixation: autoDraw = True
90.4494 	EXP 	fixation: autoDraw = False
90.4494 	EXP 	grating: autoDraw = True
90.7495 	EXP 	grating: autoDraw = False
90.9360 	EXP 	New trial (rep=46, index=0): None
90.9389 	DATA 	Keypress: up
90.9497 	EXP 	fixation: autoDraw = False
90.9497 	EXP 	grating: autoDraw = False
90.9497 	EXP 	grating: ori = -2.0
90.9497 	EXP 	fixation: autoDraw = True
91.9501 	EXP 	fixation: autoDraw = False
91.9501 	EXP 	grating: autoDraw = True
92.2493 	EXP 	grating: autoDraw = False
92.6522 	EXP 	New trial (rep=47, index=0): None
92.6538 	DATA 	Keypress: up
92.6664 	EXP 	fixation: autoDraw = False
92.6664 	EXP 	grating: autoDraw = False
92.6664 	EXP 	grating: ori = -5.0
92.6664 	EXP 	fixation: autoDraw = True
93.6663 	EXP 	fixation: autoDraw = False
93.6663 	EXP 	grating: autoDraw = True
93.9667 	EXP 	grating: autoDraw = False
94.3702 	EXP 	New trial (rep=48, index=0): None
94.3730 	DATA 	Keypress: down
